NOME,DISTRITO
"Escola Básica de Farminhão, Viseu",Viseu
"Escola Básica de Couto de Cima, Viseu",Viseu
"Escola Básica de Campo, Viseu",Viseu
"Escola Básica de Calde, Viseu",Viseu
"Escola Básica de Bigas, Viseu",Viseu
"Escola Básica de Abraveses, Viseu",Viseu
Escola Básica de Pedrógão Grande,Leiria
"Escola Básica de Graça, Pedrógão Grande",Leiria
"Jardim de Infância de Cardigos, Mação",Santarém
Escola Básica de Mação,Santarém
"Escola Básica de Juncal, Porto de Mós",Leiria
"Escola Básica de Fonte do Oleiro, Porto de Mós",Leiria
"Escola Básica de Cumeira de Cima, Porto de Mós",Leiria
"Escola Básica de Casais Garridos, Porto de Mós",Leiria
"Escola Básica de Calvaria de Cima, Porto de Mós",Leiria
"Escola Básica de Arrimal, Porto de Mós",Leiria
"Escola Básica de Alqueidão da Serra, Porto de Mós",Leiria
Escola Básica n.º 6 de Vila Real,Vila Real
Escola Básica n.º 3 de Vila Real,Vila Real
Escola Básica n.º 2 de Vila Real,Vila Real
"Escola Básica João de Deus, Porto",Porto
"Escola Básica de Arões - São Romão, Fafe",Braga
"Escola Básica de Monte, Arões - Santa Cristina, Fafe",Braga
"Escola Básica de Fareja, Fafe",Braga
"Escola Básica de Cepães, Fafe",Braga
"Escola Básica de Vila Chã, Esposende",Braga
"Escola Básica de Rio de Moinhos, Esposende",Braga
"Escola Básica de Pinhote, Esposende",Braga
"Escola Básica de Mar, Esposende",Braga
"Escola Básica de Guilheta, Esposende",Braga
"Escola Básica de Góios, Esposende",Braga
"Escola Básica de Forjães, Esposende",Braga
"Escola Básica de Belinho, Esposende",Braga
"Escola Básica de Ribeiros, São João da Madeira",Aveiro
"Escola Básica de Espadanal, São João da Madeira",Aveiro
"Escola Básica de Serzedo, Guimarães",Braga
"Escola Básica de São Romão, Mesão Frio, Guimarães",Braga
"Escola Básica de Monte Largo, Guimarães",Braga
"Escola Básica de Infantas, Guimarães",Braga
"Escola Básica de Cruz de Argola, Mesão Frio, Guimarães",Braga
"Escola Básica de Ucha de Baixo, Guimarães",Braga
"Escola Básica de Tabuadelo, Guimarães",Braga
"Escola Básica de Pinheiro, Guimarães",Braga
"Escola Básica de Calvos, Guimarães",Braga
"Escola Básica Agostinho da Silva, Guimarães",Braga
"Escola Básica Luís Van Zeller de Macedo, Amarante",Porto
"Escola Básica de Torreira, Amarante",Porto
"Escola Básica de Santa Comba, Amarante",Porto
"Escola Básica de Lama, Amarante",Porto
"Escola Básica de Igreja, Vila Caiz, Amarante",Porto
"Escola Básica de Freixo de Cima, Amarante",Porto
"Escola Básica de Mancelos, Amarante",Porto
"Escola Básica Amadeo de Souza Cardoso, Telões, Amarante",Porto
"Escola Básica Acácio Lino, Travanca, Amarante",Porto
Escola Básica n.º 2 de Lamego,Viseu
Escola Básica de Lamego Sudeste,Viseu
"Escola Básica de São Nicolau, Porto",Porto
